time,open,high,low,close
1717020000,1.08025,1.08451,1.07884,1.08335
1717106400,1.08327,1.08823,1.08113,1.0845
1717365600,1.08493,1.09046,1.08279,1.09024
1717452000,1.09005,1.0916,1.08589,1.0879
1717538400,1.08779,1.08916,1.08544,1.08697
1717624800,1.08697,1.0902,1.0862,1.08904
1717711200,1.089,1.09041,1.07997,1.08
1717970400,1.08,1.08033,1.07328,1.07649
1718056800,1.07652,1.07735,1.07195,1.07414
1718143200,1.07412,1.08523,1.07347,1.08123
1718229600,1.08119,1.08164,1.07329,1.07376
1718316000,1.0738,1.0745,1.06677,1.07025
1718575200,1.0697,1.0738,1.06865,1.07316
1718661600,1.07316,1.07615,1.07101,1.07407
1718748000,1.074,1.07534,1.07249,1.07445
1718834400,1.07445,1.0749,1.0702,1.07035
1718920800,1.07027,1.07206,1.06711,1.0691
1719180000,1.0686,1.07465,1.06838,1.07327
1719266400,1.07331,1.07442,1.06907,1.07124
1719352800,1.07126,1.0718,1.0666,1.06801
1719439200,1.068,1.07264,1.06771,1.07033
1719525600,1.07034,1.07248,1.06854,1.07112
1719784800,1.07155,1.07765,1.07155,1.07396
1719871200,1.07389,1.07472,1.071,1.07451
1719957600,1.07446,1.08169,1.07364,1.07857
1720044000,1.07859,1.0814,1.07838,1.08116
1720130400,1.08118,1.08426,1.08012,1.0837
1720389600,1.08082,1.08451,1.08034,1.08244
1720476000,1.08244,1.08334,1.08055,1.08132
1720562400,1.08132,1.08306,1.0811,1.08291
1720648800,1.08289,1.08999,1.08289,1.08656
1720735200,1.08646,1.09114,1.0862,1.09054
1720994400,1.09,1.09223,1.0883,1.08946
1721080800,1.08951,1.09056,1.08717,1.08989
1721167200,1.08975,1.09481,1.08953,1.09383
1721253600,1.09382,1.0941,1.08938,1.08976
1721340000,1.08968,1.0902,1.08757,1.08822
1721599200,1.08785,1.0903,1.0873,1.08893
1721685600,1.08894,1.08968,1.0844,1.08534
1721772000,1.08534,1.08666,1.08257,1.08387
1721858400,1.08389,1.08701,1.08284,1.08445
1721944800,1.08448,1.08683,1.0842,1.0855
1722204000,1.086,1.087,1.08028,1.08231
1722290400,1.08223,1.08358,1.07983,1.0814
1722376800,1.08127,1.08494,1.0802,1.08266
1722463200,1.08258,1.08354,1.07775,1.07913
1722549600,1.07904,1.0927,1.0782,1.09098
1722808800,1.092,1.1009,1.08927,1.09524
1722895200,1.09526,1.09631,1.09039,1.09277
1722981600,1.09269,1.09366,1.09056,1.09233
1723068000,1.09231,1.09451,1.08815,1.09167
1723154400,1.0916,1.09314,1.0909,1.09148
1723413600,1.0911,1.09395,1.091,1.09311
1723500000,1.09306,1.09997,1.09139,1.09925
1723586400,1.09924,1.10474,1.09865,1.10124
1723672800,1.10123,1.1016,1.09492,1.09717
1723759200,1.09713,1.10297,1.09709,1.10253
1724018400,1.1022,1.10864,1.1022,1.1085
1724104800,1.10847,1.11306,1.1072,1.1129
1724191200,1.11286,1.11741,1.10993,1.11478
1724277600,1.1147,1.11649,1.10982,1.11102
1724364000,1.11114,1.1201,1.11056,1.11913
1724623200,1.1186,1.12015,1.11502,1.11603
1724709600,1.11603,1.11906,1.11501,1.11831
1724796000,1.11836,1.1185,1.1105,1.11182
1724882400,1.11175,1.11399,1.10557,1.10774
1724968800,1.1077,1.1095,1.1044,1.10465
1725228000,1.1047,1.10775,1.1042,1.10704
1725314400,1.10696,1.1073,1.10265,1.10425
1725400800,1.10435,1.10952,1.104,1.10825
1725487200,1.10817,1.11197,1.10748,1.1108
1725573600,1.1108,1.11556,1.10658,1.1083
1725832800,1.108,1.10911,1.10338,1.10365
1725919200,1.1036,1.10498,1.10152,1.10182
